State,Description,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1
U.S.,"Personal income (millions of dollars, seasonally adjusted)",17535505.2,17720035.9,17918889.1,18077709.8,18351263.6,18550204.6,18677189.3,18844875.3,18953089.6
U.S.,"Population (midperiod, persons) 1/",326088842,326466512,326930342,327365581,327686853,328033835,328493111,328949848,329292612
U.S.,Per capita personal income (dollars) 2/,53775,54278,54810,55222,56002,56550,56857,57288,57557
Alabama,"Personal income (millions of dollars, seasonally adjusted)",203755.1,205432.6,207198.6,209433.8,212350.8,214193.4,216261,217655,219229.5
Alabama,"Population (midperiod, persons) 1/",4883316,4885903,4890367,4895013,4897846,4901089,4905888,4910540,4913570
Alabama,Per capita personal income (dollars) 2/,41725,42046,42369,42785,43356,43703,44082,44324,44617
Alaska,"Personal income (millions of dollars, seasonally adjusted)",43220,43482.1,44155.2,44415.6,44901.4,45302.8,45627.8,45947.4,46098.7
Alaska,"Population (midperiod, persons) 1/",736905,735682,734767,733944,732911,731958,731203,730430,729448
Alaska,Per capita personal income (dollars) 2/,58651,59104,60094,60516,61265,61893,62401,62905,63197
Arizona,"Personal income (millions of dollars, seasonally adjusted)",312770.1,315249.5,320206.1,323425.9,329961.1,334605.4,339311,343249.7,346008.5
Arizona,"Population (midperiod, persons) 1/",7116421,7143690,7174333,7205719,7234387,7263483,7294957,7326194,7355459
Arizona,Per capita personal income (dollars) 2/,43950,44130,44632,44885,45610,46067,46513,46852,47041
Arkansas,"Personal income (millions of dollars, seasonally adjusted)",128378.2,129593.5,130648.2,132566.7,133103.3,135080.2,136128.8,136963.7,137609.4
Arkansas,"Population (midperiod, persons) 1/",3006919,3008594,3011195,3013641,3015024,3016670,3019272,3021757,3023277
Arkansas,Per capita personal income (dollars) 2/,42694,43074,43388,43989,44147,44778,45087,45326,45517
California,"Personal income (millions of dollars, seasonally adjusted)",2465672.7,2504116.2,2528020.2,2558707.9,2596657.5,2638750.8,2639109.4,2686709.4,2701899.5
California,"Population (midperiod, persons) 1/",39429082,39448638,39473795,39492156,39497874,39505293,39525312,39545444,39553142
California,Per capita personal income (dollars) 2/,62534,63478,64043,64790,65742,66795,66770,67940,68311
Colorado,"Personal income (millions of dollars, seasonally adjusted)",326035.5,330559.7,335702.1,339473,347119.4,351523.5,356616.5,357098,358996.4
Colorado,"Population (midperiod, persons) 1/",5661963,5681139,5700456,5718016,5733721,5750007,5767959,5785620,5801727
Colorado,Per capita personal income (dollars) 2/,57583,58185,58890,59369,60540,61134,61827,61722,61878
Connecticut,"Personal income (millions of dollars, seasonally adjusted)",269053.5,271363.2,275620.2,276572.8,280853.3,282039,281914.4,283925.9,285591.1
Connecticut,"Population (midperiod, persons) 1/",3572624,3571648,3571298,3570266,3567968,3565929,3565513,3565332,3563366
Connecticut,Per capita personal income (dollars) 2/,75310,75977,77176,77466,78715,79093,79067,79635,80146
