State,Census Count (Thousands),Correct Enumerations (%),Erroneous Enumerations Est. (%),Erroenous Enumerations SE (%),Percent Undercount Est. (%),Percent Undercount RMSE (%),Omissions Est. (%),Omissions RMSE (%)
U.S.,"131,676.20",97.3,2.7,0.1,0.6,0.2,3.2,0.2
Alabama,"2,171.90",96.8,3.2,0.7,1.19,1.69,4.4,1.8
Alaska,278.4,96,4,0.8,1.79,2.8,5.8,2.8
Arizona,"2,844.50",96.9,3.1,0.7,1.44,1.6,4.5,1.7
Arkansas,"1,316.30",96.1,3.9,1.2,1,1.9,4.8,2.2
California,"13,680.10",98.4,1.6,0.2,0.66,1.1,2.2,1.1
Colorado,"2,212.90",98.8,1.2,0.3,0.86,1.67,2,1.7
Connecticut,"1,487.90",98.1,1.9,0.6,-0.38,1.87,1.6,1.9
Delaware,405.9,98.5,1.5,0.6,1.06,2.54,2.6,2.6
District of Columbia,296.7,98,2,0.7,-0.07,2.77,1.9,2.8
Florida,"8,989.60",97.6,2.4,0.7,1,1.24,3.4,1.4
Georgia,"4,088.80",97.4,2.6,0.7,0.91,1.46,3.5,1.6
Hawaii,519.5,95.5,4.5,0.7,0.05,2.49,4.6,2.5
Idaho,667.8,97.4,2.6,0.9,1.77,2.21,4.3,2.3
Illinois,"5,296.70",98.1,1.9,0.3,0.23,1.38,2.1,1.4
Indiana,"2,795.50",98.9,1.1,0.2,0.75,1.59,1.9,1.6
Iowa,"1,336.40",98.4,1.6,0.5,0.61,1.91,2.2,1.9
Kansas,"1,233.20",98.7,1.3,0.4,0.58,1.94,1.9,2
Kentucky,"1,927.20",96.4,3.6,0.7,0.62,1.74,4.2,1.8
Louisiana,"1,965.00",96.2,3.8,0.7,0.83,1.72,4.6,1.8
Maine,721.8,91.2,8.8,6.7,0.21,2.45,9,7.1
Maryland,"2,378.80",98,2,0.4,0.64,1.65,2.6,1.7
Massachusetts,"2,808.30",95.4,4.6,1.4,-0.17,1.62,4.4,2.1
Michigan,"4,532.20",97.3,2.7,1.1,0.94,1.42,3.7,1.8
Minnesota,"2,347.20",96.3,3.7,1.7,0.91,1.68,4.6,2.3
Mississippi,"1,274.70",94.4,5.6,1.3,0.55,1.95,6.1,2.3
Missouri,"2,712.70",97.8,2.2,0.4,0.79,1.66,2.9,1.7
Montana,482.8,94.2,5.8,1.5,1.89,2.42,7.6,2.7
Nebraska,796.8,97.8,2.2,0.6,0.67,2.15,2.8,2.2
Nevada,"1,173.80",99.4,0.6,0.2,1.16,1.96,1.7,2
New Hampshire,614.8,95.3,4.7,3.1,0.67,2.34,5.4,3.8
New Jersey,"3,553.60",98.5,1.5,0.3,-0.47,1.57,1.1,1.6
New Mexico,901.4,94.1,5.9,1,1.33,2.13,7.1,2.2
New York,"8,108.10",95.9,4.1,0.3,-1.14,1.34,3,1.3
North Carolina,"4,327.50",95.1,4.9,0.9,1.04,1.45,5.8,1.6
North Dakota,317.5,98.1,1.9,0.5,1.32,2.72,3.2,2.7
Ohio,"5,127.50",98.3,1.7,0.3,0.6,1.38,2.3,1.4
Oklahoma,"1,664.40",96.2,3.8,0.7,0.51,1.81,4.3,1.9
Oregon,"1,675.60",98.5,1.5,0.5,1.24,1.77,2.7,1.8
Pennsylvania,"5,567.30",97.5,2.5,0.4,-0.05,1.4,2.4,1.4
Rhode Island,463.4,97.9,2.1,0.5,-0.33,2.49,1.8,2.5
South Carolina,"2,137.70",96.8,3.2,1.2,1.16,1.7,4.3,2
South Dakota,363.4,96.5,3.5,1.3,1.41,2.62,4.8,2.8
Tennessee,"2,812.10",97.4,2.6,0.4,0.67,1.58,3.2,1.6
Texas,"9,977.40",97.8,2.2,0.3,0.63,1.17,2.8,1.2
Utah,979.7,96.5,3.5,2,1.24,2.01,4.7,2.7
Vermont,322.5,95.1,4.9,1.7,0.13,2.84,5,3.2
Virginia,"3,364.90",97.6,2.4,0.6,0.75,1.51,3.2,1.6
Washington,"2,885.70",98.2,1.8,0.4,1.01,1.56,2.7,1.6
West Virginia,881.9,93.6,6.4,1.7,0.95,2.18,7.3,2.7
Wisconsin,"2,624.40",98.1,1.9,0.4,1.41,1.65,3.3,1.7
Wyoming,261.9,96.8,3.2,0.8,1.47,2.82,4.7,2.8
