Current Rank,Rank 2010,State,Population 2019,Population 2010,House Seats,Self Respond,NRFU,Enumerated,Per Person Cost (FY15),Per Percent Cost (FY15),Brookings 2010-2020 Population Change,Brooking Population 2020,Urban Population 2020
1,1, California,39512223,37253956,53,67.4,20.7,88.1,0,0,6.20%,39716371,40048100
2,2, Texas,28995881,25145561,36,60.5,20,80.5,1161,291908615,16.40%,30078422.25,29369000
3,4, Florida,21477737,18801310,27,61.7,15.7,77.4,946,177848466,15.20%,22171356.13,21856200
4,3, New York,19453561,19378102,27,61.4,20.6,82,0,0,0.10%,19397499.5,19857900
5,6, Pennsylvania,12801989,12702379,18,67.9,19.4,87.3,1746,221762564,0.80%,12804817.54,12875300
6,5, Illinois,12671821,12830632,18,69.8,19.4,89.2,953,122231690,-1.50%,12641016.75,12708900
7,7, Ohio,11689100,11536504,16,69.2,17.9,87.1,1206,139097423,1.40%,11700308.32,11783900
8,9, Georgia,10617423,9687653,14,60.4,14.5,74.9,708,68593179,10.40%,10812112.72,10748800
9,10, North Carolina,10488084,9535483,13,61,16.1,77.1,988,94218427,10.80%,10690003.36,10607500
10,8, Michigan,9986857,9883640,14,70.1,14.1,84.2,954,94277076,1.10%,9993569.262,10058300
11,11, New Jersey,8882190,8791894,12,67.2,16.4,83.6,0,0,1.00%,8880701.01,9068800
12,12, Virginia,8535519,8001024,11,69.6,16,85.6,0,0,7.00%,8603251.613,8626700
13,13, Washington,7614893,6724540,10,71.2,22,93.2,39,2614278,14.30%,7846604.434,7750700
14,16, Arizona,7278717,6392017,9,61.6,13.7,75.3,887,56672252,15.30%,7546655.254,7307700
15,14, Massachusetts,6892503,6547629,9,67.6,20.5,88,0,0,5.40%,6921383.721,6969200
16,17, Tennessee,6829174,6346105,9,64.4,20.3,84.8,1091,69205364,8.30%,6920507.088,6914100
17,15, Indiana,6732219,6483802,9,69.2,22.4,91.6,929,60223617,4.30%,6775132.706,6772400
18,18, Missouri,6137428,5988927,8,64.7,23.9,88.6,1272,76194260,2.70%,6155115.108,6191200
19,19, Maryland,6045680,5773552,8,69.4,18.7,88.2,0,0,4.80%,6064655.462,6121600
20,20, Wisconsin,5822434,5686986,8,71.3,20.6,91.9,1338,76101387,2.60%,5838794.661,5875300
21,22, Colorado,5758736,5029196,7,68.4,17,85.5,1262,63454867,15.50%,5951711.243,5827500
22,21, Minnesota,5639632,5303925,8,74,15.7,89.7,0,0,6.80%,5690906.652,5733800
23,24, South Carolina,5148714,4625364,7,59,17,76,809,37398883,12.40%,5280095.89,5207800
24,23, Alabama,4903185,4779736,7,61.9,13.1,75,755,36094132,2.80%,4917423.868,4919400
25,25, Louisiana,4648794,4533372,6,58.4,18.1,76.5,1372,62200953,2.40%,4644848.361,4682600
26,26, Kentucky,4467673,4339367,6,67.2,15.4,82.6,972,42191368,3.10%,4478190.918,4518100
27,27, Oregon,4217737,3831074,5,68,24.2,92.1,1169,44779594,10.80%,4294926.009,4306100
28,28, Oklahoma,3956971,3751351,5,59.4,21.4,80.8,1123,42118984,5.80%,3982325.902,3963500
29,30, Connecticut,3565287,3574097,5,69.2,22.6,91.8,0,0,-4.00%,3436631.731,3592200
30,35, Utah,3205958,2763885,4,69.6,17.7,87.3,533,14735190,17.40%,3346107.748,3268500
32,31, Iowa,3155070,3046355,4,69.9,11.2,81.1,1268,38633118,3.70%,3163400.831,3197300
33,36, Nevada,3080156,2700551,4,64.5,17.6,82.1,628,16972279,15.50%,3195918.343,3154300
34,33, Arkansas,3017804,2915918,4,59.5,26.7,86.2,909,26503735,3.70%,3027952.233,3052800
35,32, Mississippi,2976149,2967297,4,59,17,75.9,1014,30101250,2.00%,3027854.082,2982400
36,34, Kansas,2913314,2853118,4,68.8,24,92.7,1020,29110082,2.20%,2917298.569,2935100
37,37, New Mexico,2096829,2059179,3,55.9,18.4,74.3,1121,23079495,2.00%,2101203.061,2091800
38,39, Nebraska,1934408,1826341,3,70.6,15.6,86.2,1109,20261535,6.30%,1949136.606,1959300
39,38, West Virginia,1792147,1852994,3,55.7,39.2,94.8,1017,18850833,-3.80%,1785157.996,1787000
40,40, Idaho,1787065,1567582,2,68.7,28.5,97.2,721,11301745,15.70%,1859527.877,1825097
41,41, Hawaii,1415872,1360301,2,61.8,30.1,91.9,1189,16177304,3.80%,1414034.304,1410400
42,43, New Hampshire,1359711,1316470,2,65.3,19,84.3,0,0,3.60%,1365632.78,1367400
43,42, Maine,1344212,1328361,2,57.2,34.8,92,1642,21809261,1.50%,1348589.848,1357900
44,45, Montana,1068778,989415,1,58.3,17.5,75.8,941,9311515,8.60%,1082510.941,1086300
45,44, Rhode Island,1059361,1052567,2,63.2,21.7,84.9,0,0,0.70%,1059986.908,1066900
46,46, Delaware,973764,897934,1,62.7,18.6,81.3,1567,14067257,9.10%,987826.1826,987300
47,47, South Dakota,884659,814180,1,65.7,16.7,82.5,1179,9602728,9.20%,896674.0088,894900
48,49, North Dakota,762062,672591,1,64,21.6,85.7,0,0,13.70%,779363.847,758300
49,48, Alaska,731545,710231,1,53,34.2,87.2,0,0,2.60%,729189.9384,735500
51,50, Vermont,623989,625741,1,59,25.7,84.7,2309,14448155,-0.30%,623869.3918,626600
52,52, Wyoming,578759,563626,1,59.4,21.6,81.1,0,0,2.80%,579862.1399,565200
