State,Federal medical assistance percentages,Enhanced federal medical assistance percentages,2019,2018,2017
Alabama,72.58,80.81,43880,42240,42240
Alaska,50,65,62102,59605,59605
Arizona,70.01,79.01,46233,44414,44414
Arkansas,71.23,79.86,44845,43292,43292
California,50,65,66661,63711,63711
Colorado,50,65,61348,58500,58500
Connecticut,50,65,79087,76481,76481
Delaware,57.74,70.42,54264,52599,52599
District of Columbia,70,79,84538,82111,82111
Florida,61.96,73.37,51989,50199,50199
Georgia,67.03,76.92,48199,46519,46519
Hawaii,53.02,67.11,57450,55414,55414
Idaho,70.41,79.29,45642,43994,43994
Illinois,50.96,65.67,58935,56919,56919
Indiana,65.83,76.08,48657,47124,47124
Iowa,61.75,73.23,52636,50243,50243
Kansas,59.68,71.78,53453,51474,51474
Kentucky,72.05,80.44,44017,42527,42527
Louisiana,67.42,77.19,48008,46245,46245
Maine,63.69,74.58,50950,48881,48881
Maryland,50,65,65683,63426,63426
Massachusetts,50,65,74967,71886,71886
Michigan,64.08,74.86,50320,48480,48480
Minnesota,50,65,59683,57566,57566
Mississippi,77.76,84.43,39368,37904,37904
Missouri,64.96,75.47,49589,47784,47784
Montana,65.6,75.92,49074,47611,47611
Nebraska,56.47,69.53,54871,53364,53364
Nevada,63.3,74.31,50883,49290,49290
New Hampshire,50,65,63880,61429,61429
New Jersey,50,65,70979,68409,68409
New Mexico,73.46,81.42,43984,41663,41663
New York,50,65,71440,68710,68710
North Carolina,67.4,77.18,47803,46126,46126
North Dakota,52.4,66.68,57501,55598,55598
Ohio,63.63,74.54,50546,48793,48793
Oklahoma,67.99,77.59,47951,46267,46267
Oregon,60.84,72.59,52937,50951,50951
Pennsylvania,52.2,66.54,58775,56252,56252
Rhode Island,54.09,67.86,56542,54800,54800
South Carolina,70.63,79.44,45314,43702,43702
South Dakota,58.28,70.8,53925,52426,52426
Tennessee,66.1,76.27,48761,46889,46889
Texas,61.81,73.27,52504,50483,50483
Utah,67.52,77.26,48395,46431,46431
Vermont,54.57,68.2,56691,54342,54342
Virginia,50,65,60116,57910,57910
Washington,50,65,64898,62122,62122
West Virginia,74.99,82.49,42336,40907,40907
Wisconsin,59.37,71.56,53583,51647,51647
Wyoming,50,65,63316,60375,60375
