State,Total,Medicaid Traditional,Medicaid Medicare Part D Clawback,CHIP,Title IV-E Foster Care,Title IV-E Adoption Assistance,CCDF Matching Funds,FMAP,EFMAP
Alabama,3993073711,3727766000,63557758,172891000,8356772,8945750,11556431,68.99,78.29
Alaska,986859756,916877400,25963016,23911000,4363037,11364361,4380942,50,65
Arizona,6129210926,5771357000,83838951,80667000,73595799,102331137,17421039,68.46,77.92
Arkansas,3170782857,2974318700,42109236,93980000,36009492,17546094,6819335,70.88,79.62
California,34944843219,30187018400,1584581880,1744125000,822967394,392659953,213490592,50,65
Colorado,3409276956,3052671000,108714386,157512000,47584413,15204568,27590589,51.01,65.71
Connecticut,3467934978,3209975900,140254241,48065000,26862664,25126325,17650848,50,65
Delaware,815628063,771851900,16904275,20261000,1035285,1444798,4130805,53.63,67.54
District of Columbia,1588075225,1504228400,14970545,20711000,36191353,10797329,1176598,70,79
Florida,13893393741,12543630800,473758528,566046000,168380172,78937774,62640467,59.72,71.8
Georgia,7189113088,6551323800,122446727,410564000,40780518,35232304,28765739,66.94,76.86
Hawaii,893347694,780388300,33900347,46316000,11368434,14653262,6721351,52.23,66.56
Idaho,1406020047,1298620800,24162336,66216000,7283476,5853744,3883691,71.75,80.23
Illinois,8243653459,7196342900,463057998,361410000,91912837,63094080,67835644,50.76,65.53
Indiana,5971699673,5451840900,129499506,162871000,157846829,51133813,18507625,66.52,76.56
Iowa,2416527856,2142345900,93461224,126012000,9387935,31787923,13532874,55.54,68.88
Kansas,1917917372,1740969600,55009947,85146000,8594778,15374777,12822270,56.63,69.64
Kentucky,4895466369,4554147000,86439291,171914000,27234751,45558649,10172678,69.94,78.96
Louisiana,5070246187,4728883500,117469168,180137000,13587302,14169029,16000188,62.05,73.44
Maine,1726766485,1624850200,52335561,27361000,5323982,13325069,3570673,61.88,73.32
Maryland,4379489757,3931039300,129507475,234274000,30832505,22572499,31263978,50,65
Massachusetts,8066337795,7226545700,344953284,413777000,30636495,18535343,31889973,50,65
Michigan,8924514189,8437966300,196366114,118575000,44542875,100721478,26342422,65.54,75.88
Minnesota,4936118955,4647584700,180709418,41135000,19547769,17140941,30001127,50,65
Mississippi,4156260196,3860362100,47667623,226177000,8320916,7542992,6189565,73.58,81.51
Missouri,6601681368,6183598400,184436417,163187000,21344168,30717148,18398235,63.45,74.42
Montana,907595773,782360200,16592104,91735000,6549559,7643856,2715054,65.9,76.13
Nebraska,1165639695,1007517200,52015480,69689000,13158261,13747227,9512527,53.27,67.29
Nevada,1515951924,1396275100,25038252,43105000,19048841,23918083,8566648,64.36,75.05
New Hampshire,794540178,728415100,34638772,20002000,2777380,2651609,6055317,50,65
New Jersey,6707688627,5890857400,350498435,344793000,30168852,44866058,46504882,50,65
New Mexico,2630538615,2494317400,32899807,73635000,7488426,16992512,5205470,69.65,78.76
New York,27456380996,24953872700,960642529,972787000,319000376,151949961,98128430,50,65
North Carolina,9180170820,8432788300,250194708,395016000,27620986,46869982,27680844,65.88,76.12
North Dakota,486019879,436471400,14158518,20997000,6034184,4453556,3905221,50,65
Ohio,11788578011,10918448200,295424348,342771000,127197849,68411334,36325280,62.64,73.85
Oklahoma,3505438031,3170115100,80041643,173065000,29855070,38808775,13552443,62.3,73.61
Oregon,4013445730,3641333000,83443381,193533000,37277671,46694302,11164376,64.06,74.84
Pennsylvania,12381547847,11226998100,554245375,371121000,109626756,61624382,57932234,51.82,66.27
Rhode Island,1189457105,1078441600,50307547,45987000,3994578,5852787,4873593,50,65
South Carolina,4497504221,4233188500,79799856,142878000,17464252,13862235,10311378,70.64,79.45
South Dakota,516552477,468266700,18315715,18868000,2997750,3462759,4641553,51.64,66.15
Tennessee,6403353502,5925396600,176406319,198088000,42084776,42681163,18696644,64.99,75.49
Texas,22284420776,20511500500,374084489,1068727000,101139863,108897449,120071475,58.05,70.64
Utah,1741520264,1612573600,31296966,59109000,22317505,7234090,8989103,70.56,79.39
Vermont,833988280,774757600,27058101,15584000,5881646,8357057,2349876,54.01,67.81
Virginia,4608562125,4061853100,191869272,247586000,24195880,40153814,42904059,50,65
Washington,4384885929,3924855400,189979379,128952000,65014768,38741148,37343234,50.03,65.02
West Virginia,2270623080,2122670400,36727838,55249000,27980599,24447486,3547757,71.35,79.95
Wisconsin,5345185360,4824538000,181915465,221241000,52886523,42928214,21676158,58.27,70.79
Wyoming,307080749,279446800,11157712,11393000,1129057,685628,3268552,50,65
