state,federal_portion_sep30,federal_portion_oct31,federal_portion_true,gained_oct31_rel_sep30,gained_true_rel_oct31
Alabama,3987488073.4410853,4028889715.2265453,4024617459.3736467,41401641.785459995,-4272255.852898598
Alaska,1016694699.5,1016694699.5,1016694699.5,0,0
Arizona,8346027442.561154,8369934737.942076,8374438772.002138,23907295.380921364,4504034.060062408
Arkansas,4555835905.600315,4544730753.066717,4537286710.442118,-11105152.533597946,-7444042.624599457
California,41226079386.5,41226079386.5,41226079386.5,0,0
Colorado,4462898433.5,4462898433.5,4462898433.5,0,0
Connecticut,4087904571.5,4087904571.5,4087904571.5,0,0
Delaware,1326826578.6340466,1327077222.6237397,1322316599.3435183,250643.98969316483,-4760623.280221462
Florida,14190943022.229317,14245366749.62814,14274774833.554556,54423727.398822784,29408083.926416397
Georgia,7227606231.20963,7278608046.8850765,7304960093.545758,51001815.67544651,26352046.660681725
Hawaii,1174358675.7170744,1167777425.2105317,1169866756.3292804,-6581250.506542683,2089331.1187486649
Idaho,1352910834.295158,1349433955.8896956,1342547888.5240278,-3476878.405462265,-6886067.36566782
Illinois,11353740348.080038,11321613606.170486,11301917798.921324,-32126741.90955162,-19695807.249162674
Indiana,7542237555.538837,7518783368.059614,7479085838.502865,-23454187.47922325,-39697529.556749344
Iowa,2989190105.2568674,2987372181.8682017,2956962022.9939585,-1817923.3886656761,-30410158.87424326
Kansas,2061386962.9943318,2053587422.9678118,2041896855.1981018,-7799540.026520014,-11690567.769710064
Kentucky,7161998317.053814,7171404653.805109,7142301431.479253,9406336.75129509,-29103222.32585621
Louisiana,7259766094.228311,7332496121.201858,7344409296.013388,72730026.97354698,11913174.811530113
Maine,1722954703.6550179,1716840686.4839034,1694533966.0622563,-6114017.171114445,-22306720.42164707
Maryland,5708669013,5708669013,5708669013,0,0
Massachusetts,8827707010,8827707010,8827707010,0,0
Michigan,10601886551.963202,10599969638.987465,10534748019.753508,-1916912.975736618,-65221619.23395729
Minnesota,6310828365.915484,6284784912.0738125,6200886522.538725,-26043453.841671944,-83898389.53508759
Mississippi,4086258563.678681,4106004669.8171096,4109523038.9397073,19746106.138428688,3518369.1225976944
Missouri,6781580368.829736,6770960182.972921,6735502457.471033,-10620185.856814384,-35457725.501888275
Montana,1212591234.9773083,1221998717.545411,1211830044.1801271,9407482.568102837,-10168673.365283966
Nebraska,1226264149.9429905,1222370612.04527,1214186537.0199277,-3893537.8977205753,-8184075.025342226
Nevada,2521577726.695517,2516504024.385633,2530277948.471502,-5073702.309884071,13773924.085868835
New Hampshire,1075187648,1075187648,1075187648,0,0
New Jersey,7421592526.5,7421592526.5,7421592526.5,0,0
New Mexico,3651648341.235845,3659906931.2680154,3665136744.769235,8258590.032170296,5229813.501219749
New York,36515041372.5,36515041372.5,36515041372.5,0,0
North Carolina,9009165557.8446,9042097659.701721,9039487548.51254,32932101.857120514,-2610111.189180374
North Dakota,642810391.8080477,640302140.43677,633040729.4341084,-2508251.37127769,-7261411.002661586
Ohio,14029892081.736134,14006601443.553179,13938133829.835361,-23290638.18295479,-68467613.7178173
Oklahoma,3002388150.865882,3005775998.745573,2998600992.3189907,3387847.879691124,-7175006.426582336
Oregon,5423248033.089101,5410639823.163618,5385546715.16321,-12608209.92548275,-25093108.000408173
Pennsylvania,15475519456.215446,15460463030.80113,15303983096.772732,-15056425.414316177,-156479934.0283985
Rhode Island,1448909142.6449583,1444638588.0930285,1438731574.875516,-4270554.551929712,-5907013.217512608
South Carolina,4233379246.443409,4261711508.64427,4257149845.3751287,28332262.200860977,-4561663.269141197
South Dakota,511376941.7152608,513271385.82526594,507880456.0850624,1894444.1100051403,-5390929.740203559
Tennessee,6523219360.4036255,6524210928.060851,6508981902.048781,991567.6572256088,-15229026.012069702
Texas,22932388602.438885,22879328848.114548,23029269344.982895,-53059754.324337006,149940496.86834717
Utah,1632305791.6497507,1627300109.2084117,1619788142.4599712,-5005682.441339016,-7511966.748440504
Vermont,895259911.2241868,890815370.1624326,876027661.1755743,-4444541.061754227,-14787708.986858249
Virginia,4781001451.5,4781001451.5,4781001451.5,0,0
Washington,6046801452,6046801452,6046801452,0,0
West Virginia,2912295080.4041758,2906321224.7916822,2887787878.2576833,-5973855.612493515,-18533346.533998966
Wisconsin,5270753314.09496,5250922575.002677,5209156464.803601,-19830739.09228325,-41766110.1990757
Wyoming,297719687.5,297719687.5,297719687.5,0,0
