state,as_of_date,enumerated,type,finished
U.S. Total,2020-08-18,71.6,observation,2020-10-07
Alabama,2020-08-18,65.2,observation,2020-10-19
Alaska,2020-08-18,69.9,observation,2020-10-03
Arizona,2020-08-18,64.2,observation,2020-10-14
Arkansas,2020-08-18,67.7,observation,2020-09-27
California,2020-08-18,74.5,observation,2020-10-02
Colorado,2020-08-18,74.7,observation,2020-10-08
Connecticut,2020-08-18,80,observation,2020-09-27
Delaware,2020-08-18,68.2,observation,2020-10-10
District of Columbia,2020-08-18,68.5,observation,2020-10-10
Florida,2020-08-18,65.1,observation,2020-10-13
Georgia,2020-08-18,64.1,observation,2020-10-16
Hawaii,2020-08-18,77.3,observation,2020-09-17
Idaho,2020-08-18,90,observation,2020-09-11
Illinois,2020-08-18,79.9,observation,2020-10-02
Indiana,2020-08-18,79.3,observation,2020-09-24
Iowa,2020-08-18,70.4,observation,2020-10-10
Kansas,2020-08-18,82,observation,2020-09-25
Kentucky,2020-08-18,71.5,observation,2020-10-11
Louisiana,2020-08-18,67.1,observation,2020-10-17
Maine,2020-08-18,78.9,observation,2020-09-23
Maryland,2020-08-18,78.3,observation,2020-10-04
Massachusetts,2020-08-18,76.3,observation,2020-10-03
Michigan,2020-08-18,72.5,observation,2020-10-06
Minnesota,2020-08-18,78.8,observation,2020-09-28
Mississippi,2020-08-18,64.1,observation,2020-10-17
Missouri,2020-08-18,76.1,observation,2020-10-02
Montana,2020-08-18,63.4,observation,2020-10-17
Nebraska,2020-08-18,74.9,observation,2020-10-04
Nevada,2020-08-18,67.3,observation,2020-10-07
New Hampshire,2020-08-18,68.5,observation,2020-10-02
New Jersey,2020-08-18,71.2,observation,2020-10-06
New Mexico,2020-08-18,59.2,observation,2020-10-15
New York,2020-08-18,66.4,observation,2020-10-06
North Carolina,2020-08-18,64.3,observation,2020-10-14
North Dakota,2020-08-18,75.1,observation,2020-10-04
Ohio,2020-08-18,75,observation,2020-10-03
Oklahoma,2020-08-18,68.6,observation,2020-10-11
Oregon,2020-08-18,78.3,observation,2020-09-30
Pennsylvania,2020-08-18,75.7,observation,2020-10-04
Rhode Island,2020-08-18,68.5,observation,2020-10-04
South Carolina,2020-08-18,63,observation,2020-10-17
South Dakota,2020-08-18,70,observation,2020-10-10
Tennessee,2020-08-18,70.6,observation,2020-10-05
Texas,2020-08-18,66.2,observation,2020-10-07
Utah,2020-08-18,74.6,observation,2020-10-01
Vermont,2020-08-18,65.6,observation,2020-09-26
Virginia,2020-08-18,75,observation,2020-10-06
Washington,2020-08-18,82.8,observation,2020-09-24
West Virginia,2020-08-18,82.1,observation,2020-09-12
Wisconsin,2020-08-18,78.5,observation,2020-09-25
Wyoming,2020-08-18,65.4,observation,2020-10-11
Puerto Rico,2020-08-18,51.9,observation,2020-09-30
U.S. Total,2020-08-19,72.8,observation,2020-10-07
Alabama,2020-08-19,66.1,observation,2020-10-19
Alaska,2020-08-19,72.2,observation,2020-10-03
Arizona,2020-08-19,65,observation,2020-10-14
Arkansas,2020-08-19,69.5,observation,2020-09-27
California,2020-08-19,75.9,observation,2020-10-02
Colorado,2020-08-19,75.8,observation,2020-10-08
Connecticut,2020-08-19,81.5,observation,2020-09-27
Delaware,2020-08-19,69.4,observation,2020-10-10
District of Columbia,2020-08-19,70,observation,2020-10-10
Florida,2020-08-19,66.1,observation,2020-10-13
Georgia,2020-08-19,65,observation,2020-10-16
Hawaii,2020-08-19,79.2,observation,2020-09-17
Idaho,2020-08-19,91.7,observation,2020-09-11
Illinois,2020-08-19,81.1,observation,2020-10-02
Indiana,2020-08-19,80.7,observation,2020-09-24
Iowa,2020-08-19,70.9,observation,2020-10-10
Kansas,2020-08-19,83.2,observation,2020-09-25
Kentucky,2020-08-19,72.5,observation,2020-10-11
Louisiana,2020-08-19,68.2,observation,2020-10-17
Maine,2020-08-19,81,observation,2020-09-23
Maryland,2020-08-19,79.5,observation,2020-10-04
Massachusetts,2020-08-19,77.6,observation,2020-10-03
Michigan,2020-08-19,73.5,observation,2020-10-06
Minnesota,2020-08-19,80,observation,2020-09-28
Mississippi,2020-08-19,65.3,observation,2020-10-17
Missouri,2020-08-19,77.5,observation,2020-10-02
Montana,2020-08-19,64.5,observation,2020-10-17
Nebraska,2020-08-19,76,observation,2020-10-04
Nevada,2020-08-19,68.2,observation,2020-10-07
New Hampshire,2020-08-19,69.8,observation,2020-10-02
New Jersey,2020-08-19,72.2,observation,2020-10-06
New Mexico,2020-08-19,60.3,observation,2020-10-15
New York,2020-08-19,67.7,observation,2020-10-06
North Carolina,2020-08-19,65.3,observation,2020-10-14
North Dakota,2020-08-19,76.4,observation,2020-10-04
Ohio,2020-08-19,76.1,observation,2020-10-03
Oklahoma,2020-08-19,69.9,observation,2020-10-11
Oregon,2020-08-19,79.8,observation,2020-09-30
Pennsylvania,2020-08-19,76.9,observation,2020-10-04
Rhode Island,2020-08-19,69.8,observation,2020-10-04
South Carolina,2020-08-19,64.1,observation,2020-10-17
South Dakota,2020-08-19,71,observation,2020-10-10
Tennessee,2020-08-19,71.9,observation,2020-10-05
Texas,2020-08-19,67.5,observation,2020-10-07
Utah,2020-08-19,75.9,observation,2020-10-01
Vermont,2020-08-19,67.2,observation,2020-09-26
Virginia,2020-08-19,76.1,observation,2020-10-06
Washington,2020-08-19,84.1,observation,2020-09-24
West Virginia,2020-08-19,84.5,observation,2020-09-12
Wisconsin,2020-08-19,79.9,observation,2020-09-25
Wyoming,2020-08-19,66.9,observation,2020-10-11
Puerto Rico,2020-08-19,56.5,observation,2020-09-30
U.S. Total,2020-08-20,73.9,observation,2020-10-07
Alabama,2020-08-20,66.9,observation,2020-10-19
Alaska,2020-08-20,74.1,observation,2020-10-03
Arizona,2020-08-20,65.8,observation,2020-10-14
Arkansas,2020-08-20,71.2,observation,2020-09-27
California,2020-08-20,77.2,observation,2020-10-02
Colorado,2020-08-20,76.6,observation,2020-10-08
Connecticut,2020-08-20,82.6,observation,2020-09-27
Delaware,2020-08-20,70.4,observation,2020-10-10
District of Columbia,2020-08-20,71.3,observation,2020-10-10
Florida,2020-08-20,67,observation,2020-10-13
Georgia,2020-08-20,65.8,observation,2020-10-16
Hawaii,2020-08-20,80.4,observation,2020-09-17
Idaho,2020-08-20,92.5,observation,2020-09-11
Illinois,2020-08-20,82,observation,2020-10-02
Indiana,2020-08-20,81.8,observation,2020-09-24
Iowa,2020-08-20,71.6,observation,2020-10-10
Kansas,2020-08-20,84.2,observation,2020-09-25
Kentucky,2020-08-20,73.4,observation,2020-10-11
Louisiana,2020-08-20,69.1,observation,2020-10-17
Maine,2020-08-20,82.1,observation,2020-09-23
Maryland,2020-08-20,80.4,observation,2020-10-04
Massachusetts,2020-08-20,78.6,observation,2020-10-03
Michigan,2020-08-20,74.4,observation,2020-10-06
Minnesota,2020-08-20,81.1,observation,2020-09-28
Mississippi,2020-08-20,66.3,observation,2020-10-17
Missouri,2020-08-20,78.6,observation,2020-10-02
Montana,2020-08-20,65.5,observation,2020-10-17
Nebraska,2020-08-20,77,observation,2020-10-04
Nevada,2020-08-20,69.1,observation,2020-10-07
New Hampshire,2020-08-20,71,observation,2020-10-02
New Jersey,2020-08-20,73.2,observation,2020-10-06
New Mexico,2020-08-20,61.5,observation,2020-10-15
New York,2020-08-20,69,observation,2020-10-06
North Carolina,2020-08-20,66.3,observation,2020-10-14
North Dakota,2020-08-20,77.4,observation,2020-10-04
Ohio,2020-08-20,77.1,observation,2020-10-03
Oklahoma,2020-08-20,70.9,observation,2020-10-11
Oregon,2020-08-20,81.2,observation,2020-09-30
Pennsylvania,2020-08-20,77.9,observation,2020-10-04
Rhode Island,2020-08-20,71.1,observation,2020-10-04
South Carolina,2020-08-20,65.2,observation,2020-10-17
South Dakota,2020-08-20,72.1,observation,2020-10-10
Tennessee,2020-08-20,73.2,observation,2020-10-05
Texas,2020-08-20,68.7,observation,2020-10-07
Utah,2020-08-20,77.1,observation,2020-10-01
Vermont,2020-08-20,68.6,observation,2020-09-26
