state,report_date,as_of_date,self_response,nrfu,enumerated
U.S. Total,2020-08-19,2020-08-18,64,7.6,71.6
Alabama,2020-08-19,2020-08-18,61.3,3.9,65.2
Alaska,2020-08-19,2020-08-18,51.5,18.4,69.9
Arizona,2020-08-19,2020-08-18,60.5,3.7,64.2
Arkansas,2020-08-19,2020-08-18,58.5,9.3,67.7
California,2020-08-19,2020-08-18,65.8,8.8,74.5
Colorado,2020-08-19,2020-08-18,67.4,7.3,74.7
Connecticut,2020-08-19,2020-08-18,68,12,80
Delaware,2020-08-19,2020-08-18,61.5,6.8,68.2
District of Columbia,2020-08-19,2020-08-18,60.4,8.1,68.5
Florida,2020-08-19,2020-08-18,60.7,4.4,65.1
Georgia,2020-08-19,2020-08-18,59.5,4.6,64.1
Hawaii,2020-08-19,2020-08-18,61,16.3,77.3
Idaho,2020-08-19,2020-08-18,68.3,21.7,90
Illinois,2020-08-19,2020-08-18,68.9,10.9,79.9
Indiana,2020-08-19,2020-08-18,68.2,11.1,79.3
Iowa,2020-08-19,2020-08-18,69.1,1.2,70.4
Kansas,2020-08-19,2020-08-18,67.9,14,82
Kentucky,2020-08-19,2020-08-18,66.4,5.1,71.5
Louisiana,2020-08-19,2020-08-18,57.8,9.3,67.1
Maine,2020-08-19,2020-08-18,56.3,22.6,78.9
Maryland,2020-08-19,2020-08-18,68.4,9.9,78.3
Massachusetts,2020-08-19,2020-08-18,66.3,10,76.3
Michigan,2020-08-19,2020-08-18,69.3,3.2,72.5
Minnesota,2020-08-19,2020-08-18,73.1,5.8,78.8
Mississippi,2020-08-19,2020-08-18,58.4,5.7,64.1
Missouri,2020-08-19,2020-08-18,63.9,12.2,76.1
Montana,2020-08-19,2020-08-18,57.4,6,63.4
Nebraska,2020-08-19,2020-08-18,69.5,5.3,74.9
Nevada,2020-08-19,2020-08-18,63,4.3,67.3
New Hampshire,2020-08-19,2020-08-18,63.8,4.7,68.5
New Jersey,2020-08-19,2020-08-18,65.8,5.3,71.2
New Mexico,2020-08-19,2020-08-18,54.4,4.8,59.2
New York,2020-08-19,2020-08-18,59.8,6.6,66.4
North Carolina,2020-08-19,2020-08-18,59.9,4.4,64.3
North Dakota,2020-08-19,2020-08-18,63.3,11.8,75.1
Ohio,2020-08-19,2020-08-18,68.2,6.8,75
Oklahoma,2020-08-19,2020-08-18,58.5,10.1,68.6
Oregon,2020-08-19,2020-08-18,66.7,11.6,78.3
Pennsylvania,2020-08-19,2020-08-18,66.9,8.8,75.7
Rhode Island,2020-08-19,2020-08-18,61.7,6.9,68.5
South Carolina,2020-08-19,2020-08-18,57.9,5.1,63
South Dakota,2020-08-19,2020-08-18,64.8,5.2,70
Tennessee,2020-08-19,2020-08-18,63.3,7.3,70.6
Texas,2020-08-19,2020-08-18,59.2,7,66.2
Utah,2020-08-19,2020-08-18,68.3,6.4,74.6
Vermont,2020-08-19,2020-08-18,57.6,8,65.6
Virginia,2020-08-19,2020-08-18,68.7,6.4,75
Washington,2020-08-19,2020-08-18,70.2,12.5,82.8
West Virginia,2020-08-19,2020-08-18,55.3,26.8,82.1
Wisconsin,2020-08-19,2020-08-18,70.3,8.2,78.5
Wyoming,2020-08-19,2020-08-18,58.3,7.2,65.4
Puerto Rico,2020-08-19,2020-08-18,30.6,21.3,51.9
U.S. Total,2020-08-20,2020-08-19,64.1,8.7,72.8
Alabama,2020-08-20,2020-08-19,61.3,4.8,66.1
Alaska,2020-08-20,2020-08-19,51.7,20.6,72.2
Arizona,2020-08-20,2020-08-19,60.6,4.4,65
Arkansas,2020-08-20,2020-08-19,58.6,11,69.5
California,2020-08-20,2020-08-19,65.9,10,75.9
Colorado,2020-08-20,2020-08-19,67.5,8.3,75.8
Connecticut,2020-08-20,2020-08-19,68.1,13.4,81.5
Delaware,2020-08-20,2020-08-19,61.6,7.9,69.4
District of Columbia,2020-08-20,2020-08-19,60.5,9.4,70
Florida,2020-08-20,2020-08-19,60.8,5.3,66.1
Georgia,2020-08-20,2020-08-19,59.6,5.4,65
Hawaii,2020-08-20,2020-08-19,61.1,18.1,79.2
Idaho,2020-08-20,2020-08-19,68.4,23.4,91.7
Illinois,2020-08-20,2020-08-19,69,12,81.1
Indiana,2020-08-20,2020-08-19,68.3,12.4,80.7
Iowa,2020-08-20,2020-08-19,69.2,1.7,70.9
Kansas,2020-08-20,2020-08-19,68,15.2,83.2
Kentucky,2020-08-20,2020-08-19,66.5,6,72.5
Louisiana,2020-08-20,2020-08-19,57.9,10.3,68.2
Maine,2020-08-20,2020-08-19,56.4,24.6,81
Maryland,2020-08-20,2020-08-19,68.5,11,79.5
Massachusetts,2020-08-20,2020-08-19,66.4,11.1,77.6
Michigan,2020-08-20,2020-08-19,69.4,4.1,73.5
Minnesota,2020-08-20,2020-08-19,73.2,6.9,80
Mississippi,2020-08-20,2020-08-19,58.4,6.9,65.3
Missouri,2020-08-20,2020-08-19,64,13.5,77.5
Montana,2020-08-20,2020-08-19,57.5,7,64.5
Nebraska,2020-08-20,2020-08-19,69.6,6.4,76
Nevada,2020-08-20,2020-08-19,63.1,5.1,68.2
New Hampshire,2020-08-20,2020-08-19,63.9,5.9,69.8
New Jersey,2020-08-20,2020-08-19,66,6.3,72.2
New Mexico,2020-08-20,2020-08-19,54.6,5.8,60.3
New York,2020-08-20,2020-08-19,59.9,7.8,67.7
North Carolina,2020-08-20,2020-08-19,60,5.3,65.3
North Dakota,2020-08-20,2020-08-19,63.3,13.1,76.4
Ohio,2020-08-20,2020-08-19,68.2,7.9,76.1
Oklahoma,2020-08-20,2020-08-19,58.6,11.3,69.9
Oregon,2020-08-20,2020-08-19,66.8,13,79.8
Pennsylvania,2020-08-20,2020-08-19,67,9.9,76.9
Rhode Island,2020-08-20,2020-08-19,61.8,8,69.8
South Carolina,2020-08-20,2020-08-19,58,6.1,64.1
South Dakota,2020-08-20,2020-08-19,64.9,6.1,71
Tennessee,2020-08-20,2020-08-19,63.4,8.6,71.9
Texas,2020-08-20,2020-08-19,59.3,8.2,67.5
Utah,2020-08-20,2020-08-19,68.4,7.6,75.9
Vermont,2020-08-20,2020-08-19,57.7,9.5,67.2
Virginia,2020-08-20,2020-08-19,68.7,7.4,76.1
Washington,2020-08-20,2020-08-19,70.3,13.8,84.1
West Virginia,2020-08-20,2020-08-19,55.3,29.1,84.5
Wisconsin,2020-08-20,2020-08-19,70.4,9.5,79.9
Wyoming,2020-08-20,2020-08-19,58.4,8.6,66.9
Puerto Rico,2020-08-20,2020-08-19,30.8,25.7,56.5
U.S. Total,2020-08-21,2020-08-20,64.2,9.7,73.9
Alabama,2020-08-21,2020-08-20,61.4,5.5,66.9
Alaska,2020-08-21,2020-08-20,51.9,22.3,74.1
Arizona,2020-08-21,2020-08-20,60.7,5.2,65.8
Arkansas,2020-08-21,2020-08-20,58.6,12.6,71.2
California,2020-08-21,2020-08-20,66.1,11.1,77.2
Colorado,2020-08-21,2020-08-20,67.6,9.1,76.6
Connecticut,2020-08-21,2020-08-20,68.2,14.4,82.6
Delaware,2020-08-21,2020-08-20,61.7,8.8,70.4
District of Columbia,2020-08-21,2020-08-20,60.6,10.7,71.3
